length	time
2	0.0014698505401611328
3	0.001257181167602539
4	0.0010929107666015625
5	0.001361846923828125
6	0.010370969772338867
7	0.008936882019042969
8	0.014452934265136719
9	0.04897308349609375
10	0.07991409301757812
11	0.1732630729675293
12	0.2056419849395752
13	0.3267638683319092
14	0.48554491996765137
15	0.421083927154541
16	1.8019092082977295
17	3.990570068359375
18	9.043709993362427
19	8.527813911437988
20	37.93108296394348
21	50.17544984817505
22	23.412317991256714
23	26.749475955963135
24	138.32903385162354
25	51.60279583930969
26	246.4615511894226
27	228.4820990562439
28	360.6990849971771
29	380.1969699859619
30	166.7031569480896
31	114.51466202735901
32	99.37957906723022
